Timestamp,Gender,Age,Occupation,On an average how many hours do you spend on watching screen per day?,What types of screen activities do you engage in most often?,"Have you noticed any changes in your physical health due to your screen time? (e.g., eye strain, back pain, headaches)","On an average, how much time do you spend on physical activity (e.g., walking, exercising, sports) each day?",Do you feel your screen time has affected your physical activity level?,"Do you feel that excessive screen time affects your mental health  (e.g., stress, anxiety, mood swings)?",How do you feel after spending long hours on screens?,"Do you feel that the time spent on screens affects your  sleep cycle  (e.g., difficulty falling asleep, poor sleep quality)?",How does your screen time impact your productivity?,How often do you find it difficult to focus on tasks due to screen distractions?,Do you feel your creativity is impacted by excessive screen time?,"Do you feel that excessive screen time has impacted your relationships (e.g., friends, family, others)?",How often do you engage in face-to-face social interactions or spend time with loved ones?,Do you feel that your screen time limits the quality or frequency of your social interactions?
1/31/2025 11:57:09,Male,15 -20 years,Student,Above 6 hours,"Social Media, Watching videos or TV, Work or Study",Yes,Less than 30 minutes,Yes,Sometimes,Neutral,No,Decreases,Always,No,No,Few times a week,No
1/31/2025 11:57:36,Female,21-25 years,Student,4- 6 hours,"Social Media, Watching videos or TV, Work or Study, ",Yes,Less than 30 minutes,Yes,No,Tired,No,No impact,Sometimes,No,No,Daily,No
1/31/2025 11:58:13,Female,21-25 years,Student,4- 6 hours,"Social Media, Work or Study, Online shopping",Yes,30 – 60 minutes,Yes,Yes,Tired,Yes,No impact,Always,Yes,Yes,Few times a week,Yes
1/31/2025 12:00:01,Female,15 -20 years,Student,4- 6 hours,"Social Media, Work or Study, Online shopping",Sometimes,30 – 60 minutes,Yes,Yes,Tired,Yes,No impact,Sometimes,Yes,No,Daily,No
1/31/2025 12:32:35,Male,21-25 years,Professional,Above 6 hours,"Social Media, Watching videos or TV, Work or Study",Yes,30 – 60 minutes,Yes,Yes,Tired,Yes,No impact,Sometimes,Yes,Yes,Once a week,Yes
1/31/2025 12:37:45,Female,15 -20 years,Student,4- 6 hours,"Social Media, Watching videos or TV",Sometimes,1- 2 hours,No,No,Tired,Sometimes,Decreases,Sometimes,No,No,Daily,No
1/31/2025 14:03:33,Female,21-25 years,Student,2- 4 hours,"Social Media, Work or Study",Yes,1- 2 hours,Yes,Yes,Tired,Yes,Decreases,Sometimes,Yes,Yes,Few times a week,Yes
1/31/2025 14:21:11,Male,15 -20 years,Student,4- 6 hours,"Social Media, Work or Study",Sometimes,1- 2 hours,No,Sometimes,Tired,Sometimes,No impact,Sometimes,No,Yes,Daily,No
1/31/2025 14:30:12,Male,21-25 years,Student,Above 6 hours,"Social Media, Watching videos or TV, Work or Study",Yes,30 – 60 minutes,Yes,Yes,Stressed,Yes,Decreases,Sometimes,Yes,Yes,Few times a week,Yes
1/31/2025 14:35:02,Male,21-25 years,Student,Less than 2 hours,"Social Media, Work or Study",Yes,30 – 60 minutes,No,Yes,Stressed,Yes,Decreases,Sometimes,Yes,Yes,Few times a week,Yes
1/31/2025 14:57:22,Female,21-25 years,Student,2- 4 hours,"Social Media, Watching videos or TV, Work or Study",Sometimes,30 – 60 minutes,Yes,Sometimes,Tired,Sometimes,Decreases,Sometimes,Yes,Yes,Few times a week,Yes
1/31/2025 15:30:34,Female,15 -20 years,Student,4- 6 hours,"Social Media, Watching videos or TV, Online shopping",Yes,Less than 30 minutes,Yes,Yes,Tired,Yes,Decreases,Always,Yes,Yes,Few times a week,Yes
1/31/2025 16:04:04,Male,21-25 years,Student,2- 4 hours,"Social Media, Watching videos or TV, Work or Study",No,30 – 60 minutes,No,Yes,Neutral,Sometimes,No impact,Rarely,No,No,Few times a week,Yes
2/1/2025 2:49:56,Female,15 -20 years,Student,4- 6 hours,"Social Media, Work or Study, Online shopping",Yes,1- 2 hours,Yes,Yes,Tired,Yes,No impact,Sometimes,Yes,Yes,Few times a week,Yes
2/1/2025 10:57:22,Female,15 -20 years,Student,Above 6 hours,"Social Media, Watching videos or TV, Work or Study",Yes,30 – 60 minutes,Yes,Yes,Tired,Yes,Decreases,Always,Yes,Yes,Few times a week,Yes
2/1/2025 14:57:26,Male,26-30 years,Professional,4- 6 hours,"Social Media, Watching videos or TV",Yes,1- 2 hours,Yes,Yes,Stressed,Yes,Decreases,Always,Yes,No,Rarely,Yes
2/1/2025 14:57:47,Male,15 -20 years,Student,4- 6 hours,"Social Media, Watching videos or TV, Work or Study",Sometimes,1- 2 hours,No,Yes,Tired,Yes,No impact,Rarely,No,No,Rarely,Yes
